D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.25,0.4131341432344106,-151.6889918436631,-8.389233092004567,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.820844682418533,0.5693548387096774
0.001,0.5,0.40929316754316725,-151.68607391940233,-8.389601965313643,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.819571804830547,0.5693548387096774
0.001,0.75,0.40929316754316725,-151.683120296408,-8.392022866500197,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.818114635876809,0.5693548387096774
0.001,1.0,0.42119865936344286,-151.68010058309744,-8.395139559574712,0,train,16.129032258064516,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5709677419354838,-14.816797108194452,0.5709677419354838
0.001,1.5,0.4192088022223695,-151.67389380330746,-8.402011359621376,0,train,16.129032258064516,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5725806451612904,-14.81423460156835,0.5725806451612904
0.001,2.0,0.42734387284497594,-151.66768651557575,-8.408876682777596,0,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.5838709677419355,-14.811823576961897,0.5838709677419355
0.001,2.5,0.4286853867876583,-151.6615490490739,-8.41526113077915,0,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.5870967741935483,-14.810228783082733,0.5870967741935483
0.001,3.0,0.4416606098140415,-151.65550733775103,-8.421438496700613,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.5903225806451613,-14.808909878483615,0.5903225806451613
0.001,3.5,0.4433566575386959,-151.6494789362647,-8.427531654684687,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,58.06451612903226,0.5919354838709677,-14.807630942095052,0.5919354838709677
0.001,4.0,0.4433566575386959,-151.64345556860872,-8.43352752533695,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,58.06451612903226,0.5919354838709677,-14.806487633926706,0.5919354838709677
0.001,4.5,0.4433566575386959,-151.63755809195357,-8.439531330260323,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,58.06451612903226,0.5919354838709677,-14.805356740440098,0.5919354838709677
0.001,5.0,0.4433566575386959,-151.63171218440755,-8.445407855428945,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,58.06451612903226,0.5919354838709677,-14.804469096859904,0.5919354838709677
0.001,5.5,0.4423680891475179,-151.62591094488693,-8.45113719740605,0,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.5903225806451613,-14.80380002441646,0.5903225806451613
0.001,6.0,0.4262390568894534,-151.62009917375514,-8.45687490705608,0,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.5870967741935483,-14.802975698475812,0.5870967741935483
0.001,7.0,0.4216452297214493,-151.6083151771919,-8.468141965883332,0,train,16.129032258064516,64.51612903225806,70.96774193548387,38.70967741935484,54.83870967741935,0.5838709677419355,-14.80133608321021,0.5838709677419355
0.001,10.0,0.41385928193501476,-151.57306430307338,-8.501779005232688,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5887096774193549,-14.796126987789695,0.5887096774193549
0.005,0.25,0.414970193627128,-151.70693823103232,-8.418542310494434,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.758674083632137,0.5693548387096774
0.005,0.5,0.41112921793588464,-151.69205283284447,-8.417485586851791,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.75371853697294,0.5693548387096774
0.005,0.75,0.42343234266015845,-151.6769957007801,-8.423238507955594,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5725806451612904,-14.750914555194674,0.5741935483870968
0.005,1.0,0.435337834480434,-151.6621533828817,-8.432432440232276,0,train,19.35483870967742,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5758064516129032,-14.74789345379175,0.5758064516129032
0.005,1.5,0.4063087331239435,-151.63293628421383,-8.454217135272003,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.582258064516129,-14.744063627367721,0.5806451612903226
0.005,2.0,0.4175532835041903,-151.6039101692312,-8.478567577059877,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.5887096774193549,-14.740051541891075,0.5887096774193549
0.005,2.5,0.4133297430664013,-151.5752709007545,-8.504142059067874,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.5919354838709677,-14.735919149594377,0.5870967741935483
0.005,3.0,0.41144339155193205,-151.54701326987134,-8.529865434986254,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.5919354838709677,-14.732008580270643,0.5887096774193549
0.005,3.5,0.41188315411612736,-151.52043963517585,-8.555219464256474,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.5951612903225807,-14.728407027697015,0.5919354838709677
0.005,4.0,0.41491592338163197,-151.49522885825766,-8.580360507480325,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5967741935483871,-14.722495822630687,0.5967741935483871
0.005,4.5,0.41491592338163197,-151.47165785548296,-8.605038161408805,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5967741935483871,-14.715715637287094,0.5967741935483871
0.005,5.0,0.4092787135619446,-151.4497051448693,-8.629200781452258,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5951612903225807,-14.70867542567446,0.5935483870967742
0.005,5.5,0.4092787135619446,-151.42868790537042,-8.652367925940167,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5935483870967742,-14.702766791744178,0.5935483870967742
0.005,6.0,0.40958823340570905,-151.4087835567491,-8.673888310580505,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5951612903225807,-14.701822896170517,0.5951612903225807
0.005,7.0,0.4019062820232225,-151.3730684055763,-8.711568195338735,0,train,9.67741935483871,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5951612903225807,-14.706785920517836,0.5951612903225807
0.005,10.0,0.41711298455870327,-151.27293425785248,-8.783868774916764,0,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,58.06451612903226,0.6016129032258064,-14.769525980921424,0.6
0.01,0.25,0.414970193627128,-151.72957912908842,-8.453308807033382,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774,-14.682201791572627,0.5693548387096774
0.01,0.5,0.41131647192008186,-151.69975401801938,-8.444680376339708,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5709677419354838,-14.677619049532977,0.5709677419354838
0.01,0.75,0.41637360411415486,-151.6704902362301,-8.452834512557088,0,train,12.903225806451612,61.29032258064516,74.19354838709677,38.70967741935484,51.61290322580645,0.5758064516129032,-14.67299127553861,0.5758064516129032
0.01,1.0,0.4282790959344304,-151.64148947670859,-8.468489056525971,0,train,16.129032258064516,61.29032258064516,74.19354838709677,38.70967741935484,51.61290322580645,0.5774193548387097,-14.668962840009769,0.5774193548387097
