D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.3559787180775111,-287.0635582487497,-0.1931489309698337,0,train,15.384615384615385,50.0,57.692307692307686,30.76923076923077,42.30769230769231,0.48365384615384616,-8.717171204688418,0.4846153846153846
0.005,inf,0.370273414097955,-286.4592573829367,-0.49967317937172323,0,train,19.230769230769234,51.92307692307693,57.692307692307686,32.69230769230769,44.230769230769226,0.4855769230769231,-9.002946838081343,0.48653846153846153
0.01,inf,0.37572225699167194,-285.89292670449356,-0.6755832104806407,0,train,19.230769230769234,51.92307692307693,59.61538461538461,32.69230769230769,44.230769230769226,0.49615384615384617,-9.33860532878376,0.4951923076923077
0.05,inf,0.35962782959338935,-284.6629056841819,-0.9640712959958375,0,train,19.230769230769234,48.07692307692308,57.692307692307686,32.69230769230769,40.38461538461539,0.47115384615384615,-10.358005214748884,0.46826923076923077
0.1,inf,0.36005724788767873,-285.3015379892764,-0.9133307014697408,0,train,19.230769230769234,50.0,57.692307692307686,32.69230769230769,40.38461538461539,0.4778846153846154,-10.071496623110745,0.47307692307692306
0.15,inf,0.36005724788767873,-286.7653888093251,-0.8625901069436446,0,train,19.230769230769234,50.0,57.692307692307686,32.69230769230769,40.38461538461539,0.4778846153846154,-9.595046634750917,0.47307692307692306
0.25,inf,0.3603005081768555,-290.30850537282544,-0.7611089178914507,0,train,19.230769230769234,50.0,57.692307692307686,32.69230769230769,40.38461538461539,0.4778846153846154,-8.568108449928143,0.475
0.35,inf,0.3603005081768555,-294.1842559741923,-0.6596277288392575,0,train,19.230769230769234,48.07692307692308,57.692307692307686,32.69230769230769,40.38461538461539,0.47596153846153844,-7.514925495612077,0.475
0.5,inf,0.3597654473925721,-300.55555828964503,-0.5074059452609674,0,train,17.307692307692307,48.07692307692308,57.692307692307686,32.69230769230769,40.38461538461539,0.47692307692307695,-5.906945115214037,0.47596153846153844
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
